gw_code,year,month,recharge_mm_sy02,recharge_mm_sy05,recharge_mm_sy10
CGWBNG0586,2025,2,1.0,2.5,5.0
CGWBNG0586,2025,3,15.14999999999996,37.8749999999999,75.7499999999998
CGWBNG0586,2025,4,23.099999999999973,57.74999999999993,115.49999999999986
CGWBNG0586,2025,5,0.0,0.0,0.0
CGWBNG0586,2025,6,0.0,0.0,0.0
CGWBNG0586,2025,7,4.789999999999988,11.97499999999997,23.94999999999994
CGWBNG0586,2025,8,11.194999999999974,27.987499999999937,55.97499999999987
CGWBNG0586,2025,9,0.914999999999988,2.28749999999997,4.57499999999994
CGWNAG2197,2023,9,0.400000000000008,1.00000000000002,2.00000000000004
CGWNAG2197,2023,10,17.199999999999985,42.99999999999996,85.99999999999991
CGWNAG2197,2023,11,30.29999999999998,75.74999999999996,151.49999999999991
CGWNAG2197,2023,12,3.349999999999998,8.374999999999995,16.74999999999999
CGWNAG2197,2024,1,20.24999999999996,50.62499999999991,101.24999999999982
CGWNAG2197,2024,2,32.69999999999997,81.74999999999993,163.49999999999986
CGWNAG2197,2024,3,587.44,1468.6000000000001,2937.2000000000003
CGWNAG2197,2024,4,654.2,1635.5,3271.0
CGWNAG2197,2024,5,390.15,975.3749999999999,1950.7499999999998
CGWNAG2197,2024,6,178.55000000000007,446.3750000000001,892.7500000000002
CGWNAG2197,2024,7,295.1,737.75,1475.5
CGWNAG2197,2024,8,191.05,477.625,955.25
CGWNAG2197,2024,9,282.59999999999997,706.5,1413.0
CGWNAG2197,2024,10,290.2,725.5,1451.0
CGWNAG2197,2024,11,368.585,921.4625,1842.925
CGWNAG2197,2024,12,201.73,504.325,1008.65
CGWNAG2197,2025,1,631.1666666666666,1577.9166666666667,3155.8333333333335
CGWNAG2197,2025,2,159.06666666666666,397.66666666666674,795.3333333333335
CGWNAG2197,2025,3,109.28999999999996,273.2249999999999,546.4499999999998
CGWNAG2197,2025,4,187.315,468.2875,936.575
CGWNAG2197,2025,5,186.0,464.99999999999994,929.9999999999999
CGWNAG2197,2025,6,314.8,787.0,1574.0
CGWNAG2197,2025,7,0.0,0.0,0.0
CGWNAG2197,2025,8,133.70999999999998,334.275,668.55
CGWNAG2197,2025,9,3.4300000000000104,8.575000000000024,17.15000000000005
CGWNAG2198,2023,9,0.0,0.0,0.0
CGWNAG2198,2023,10,42.949999999999974,107.37499999999993,214.74999999999986
CGWNAG2198,2023,11,30.449999999999974,76.12499999999994,152.2499999999999
CGWNAG2198,2023,12,15.399999999999991,38.49999999999998,76.99999999999996
CGWNAG2198,2024,1,25.54999999999995,63.87499999999988,127.74999999999976
CGWNAG2198,2024,2,26.85,67.125,134.25
CGWNAG2198,2024,3,11.6,29.0,58.0
CGWNAG2198,2024,4,0.899999999999982,2.249999999999955,4.49999999999991
CGWNAG2198,2024,5,0.949999999999992,2.37499999999998,4.74999999999996
CGWNAG2198,2024,6,14.249999999999996,35.62499999999999,71.24999999999999
CGWNAG2198,2024,7,4.54999999999998,11.37499999999995,22.7499999999999
CGWNAG2198,2024,8,9.699999999999974,24.249999999999936,48.49999999999987
CGWNAG2198,2024,9,15.74999999999999,39.37499999999997,78.74999999999994
CGWNAG2198,2024,10,20.74999999999998,51.87499999999995,103.7499999999999
CGWNAG2198,2024,11,33.74999999999997,84.37499999999993,168.74999999999986
CGWNAG2198,2024,12,22.116666666666674,55.291666666666686,110.58333333333337
CGWNAG2198,2025,1,19.899999999999984,49.749999999999964,99.49999999999993
CGWNAG2198,2025,2,4.49999999999998,11.24999999999995,22.4999999999999
CGWNAG2198,2025,3,9.016666666666655,22.541666666666636,45.08333333333327
CGWNAG2198,2025,4,12.166666666666666,30.416666666666664,60.83333333333333
CGWNAG2198,2025,5,6.716666666666642,16.791666666666604,33.58333333333321
CGWNAG2198,2025,6,24.249999999999986,60.624999999999964,121.24999999999993
CGWNAG2198,2025,7,6.299999999999974,15.749999999999934,31.49999999999987
CGWNAG2198,2025,8,23.23333333333332,58.0833333333333,116.1666666666666
CGWNAG2198,2025,9,7.249999999999984,18.12499999999996,36.24999999999992
